variable,description,notes,variable_new
Age,Age of the Particiapant,in numbers,age
Gender,Gender of the Participant,Male/ Female/ Other,gender
Educational.Qualification,Educational qualification of the Participant,Pursuing/ completed a Bachelor's/ Master's degree,educational_qualification
GPT_Use,Have you used ChatGPT?,Occasionally/ Always/ Never,gpt_use
pre.MHL_KMHP,Pre-test - Mental Health Literacy - Knowledge of mental health problems,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",pre_mhl_kmhp
pre.MHL_EBS,Pre-test - Mental Health Literacy - Erroneous beliefs/stereotypes,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",pre_mhl_ebs
pre.MHL_FASHSB,Pre-test - Mental Health Literacy - First aid skills and help seeking behaviour,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",pre_mhl_fashsb
pre.MHL_SHS,Pre-test - Mental Health Literacy - Self-help strategies,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",pre_mhl_shs
pre.MHL_Total,Pre-test - Mental Health Literacy - Total,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",pre_mhl_total
pre.MHSAS,Pre-test - Mental Help seeking Attitude,"Mental Help Seeking Attitudes Scale (Hammer et al., 2018)",pre_mhsas
pre.STIG,Pre-test - Stigma,"Stigma-9 Questionnaire (Gierk et al., 2018)",pre_stig
pre.MHSES,Pre-test - Mental Health Self Efficacy,"Mental Health Self Efficacy Scale (Clarke et al., 2014)",pre_mhses
pre.SPANE_P,Pre-test - Scale of Positive and Negative Experiences - Positive,"Scale of Positive and Negative Experience (Diener et al., 2010)",pre_spane_p
pre.SPANE_N,Pre-test - Scale of Positive and Negative Experiences - Negative,"Scale of Positive and Negative Experience (Diener et al., 2010)",pre_spane_n
pre.SPANE_B,Pre-test - Scale of Positive and Negative Experiences - Balanced,"Scale of Positive and Negative Experience (Diener et al., 2010)",pre_spane_b
pre.FLOUSC,Pre-test - Flourishing,"Flourishing Scale (Diener et al., 2010)",pre_flousc
post.MHL_KMHP,Post-test - Mental Health Literacy - Knowledge of mental health problems,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",post_mhl_kmhp
post.MHL_EBS,Post-test - Mental Health Literacy - Erroneous beliefs/stereotypes,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",post_mhl_ebs
post.MHL_FASHSB,Post-test - Mental Health Literacy - First aid skills and help seeking behaviour,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",post_mhl_fashsb
post.MHL_SHS,Post-test - Mental Health Literacy - Self-help strategies,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",post_mhl_shs
post.MHL_Total,Post-test - Mental Health Literacy - Total,"Mental Health Literacy questionnaire-Short Version for adults (Campos et al., 2022)",post_mhl_total
post.MHSAS,Post-test - Mental Help seeking Attitude,"Mental Help Seeking Attitudes Scale (Hammer et al., 2018)",post_mhsas
post.STIG,Post-test - Stigma,"Stigma-9 Questionnaire (Gierk et al., 2018)",post_stig
post.MHSES,Post-test - Mental Health Self Efficacy,"Mental Health Self Efficacy Scale (Clarke et al., 2014)",post_mhses
post.SPANE_P,Post-test - Scale of Positive and Negative Experiences - Positive,"Scale of Positive and Negative Experience (Diener et al., 2010)",post_spane_p
post.SPANE_N,Post-test - Scale of Positive and Negative Experiences - Negative,"Scale of Positive and Negative Experience (Diener et al., 2010)",post_spane_n
post.SPANE_B,Post-test - Scale of Positive and Negative Experiences - Balanced,"Scale of Positive and Negative Experience (Diener et al., 2010)",post_spane_b
post.FLOUSC,Post-test - Flourishing,"Flourishing Scale (Diener et al., 2010)",post_flousc
GPT_Rating,How would you rate your experience with ChatGPT?,Excellent/ Good/ Fair/ Poor,gpt_rating
Prompts_Rating,How would you rate the prompts provided?,Excellent/ Good/ Fair/ Poor,prompts_rating
Intervention_Rating,How would you rate the intervention as a whole?,Excellent/ Good/ Fair/ Poor,intervention_rating
MHL_Rating,Are you now more knowledgeable about mental health?,Yes/ No/ Maybe,mhl_rating
GPT_MHL,would you use ChatGPT for MHL in the future?,Yes/ No/ Maybe,gpt_mhl
GPT_Flaw,Do you feel that any of the information provided by ChatGPT is flawed?,Yes/ No/ Maybe,gpt_flaw
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
